sasdate,RPI,W875RX1,DPCERA3M086SBEA,CMRMTSPLx,RETAILx,INDPRO,IPFPNSS,IPFINAL,IPCONGD,IPDCONGD,IPNCONGD,IPBUSEQ,IPMAT,IPDMAT,IPNMAT,IPMANSICS,IPB51222S,IPFUELS,CUMFNS,HWI,HWIURATIO,CLF16OV,CE16OV,UNRATE,UEMPMEAN,UEMPLT5,UEMP5TO14,UEMP15OV,UEMP15T26,UEMP27OV,CLAIMSx,PAYEMS,USGOOD,CES1021000001,USCONS,MANEMP,DMANEMP,NDMANEMP,SRVPRD,USTPU,USWTRADE,USTRADE,USFIRE,USGOVT,CES0600000007,AWOTMAN,AWHMAN,HOUST,HOUSTNE,HOUSTMW,HOUSTS,HOUSTW,PERMIT,PERMITNE,PERMITMW,PERMITS,PERMITW,AMDMNOx,AMDMUOx,BUSINVx,ISRATIOx,M1SL,M2SL,M2REAL,BOGMBASE,TOTRESNS,NONBORRES,BUSLOANS,REALLN,NONREVSL,CONSPI,S&P 500,S&P: indust,S&P div yield,S&P PE ratio,FEDFUNDS,CP3Mx,TB3MS,TB6MS,GS1,GS5,GS10,AAA,BAA,COMPAPFFx,TB3SMFFM,TB6SMFFM,T1YFFM,T5YFFM,T10YFFM,AAAFFM,BAAFFM,EXSZUSx,EXJPUSx,EXUSUKx,EXCAUSx,WPSFD49207,WPSFD49502,WPSID61,WPSID62,OILPRICEx,PPICMM,CPIAUCSL,CPIAPPSL,CPITRNSL,CPIMEDSL,CUSR0000SAC,CUSR0000SAD,CUSR0000SAS,CPIULFSL,CUSR0000SA0L2,CUSR0000SA0L5,PCEPI,DDURRG3M086SBEA,DNDGRG3M086SBEA,DSERRG3M086SBEA,CES0600000008,CES2000000008,CES3000000008,DTCOLNVHFNM,DTCTHFNM,INVEST,VIXCLSx
Transform:,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,5,5,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,1,4,4,4,4,4,4,4,4,4,4,5,5,5,2,6,6,5,6,6,7,6,6,6,2,5,5,2,5,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1
7/1/62,0.004801063,0.004709675,0.003289646,-0.005501322,0.01571681,0.009568771,0.009489221,0.012659849,0.016824924,0.021643746,0.012498806,0.008359428,0.008599327,0.01087449,0.001480147,0.009590953,0.014702926,0.002098469,0.5469,-6,0.001633897,-0.003011024,-0.002808801,-0.1,-0.5,-0.00376176,0.036562253,-0.028197357,-0.044451763,-0.014059986,-0.009222456,0.001831404,0.003226313,-0.011430536,0.021721823,0.000257732,0.000877867,-0.000624317,0.001096551,-0.000892777,3.67E-05,0.000828376,0.001505458,0.002884724,40,0,40.5,7.279318835,5.568344504,5.648974238,6.253828812,5.950642553,7.080867897,5.420534999,5.525452939,5.846438775,5.902633333,0.01395399,-0.000601866,0.003838389,0,0.000680966,-0.000881378,0.003970657,-6.18E-05,0.004962289,0.01010101,-0.011451414,-0.003103073,-0.002531795,0.000204847,0.023802189,0.021878258,-0.075391799,0.010198536,0.03,0.11,0.19,0.28,0.26,0.16,0.1,0.06,0.03,0.65,0.21,0.37,0.58,1.09,1.3,1.63,2.34,0.000417005,0,-0.000605532,-0.008028466,0,-0.002989539,0,0.016650135,0,-9.35E-06,0.001323517,-4.66E-06,-0.009756175,0.004246291,-0.00293686,0,0.003992021,0,-0.003129893,0.003252035,-0.001131543,-0.002374781,-0.001270768,-0.000901236,0.004192878,0.006908302,0.008830036,-0.004971672,-0.00238174,-0.004411017,19.5715
8/1/62,0.001628074,0.001145344,0.00271607,0.023099864,0.006197947,0.001055823,0,-0.002100146,-0.01153837,-0.014016805,-0.009360001,0.010349367,0.002141595,0.006466921,0.000402565,0.00211797,-0.001043345,-0.03628981,-0.0592,-30,-0.031223086,0.009611988,0.007268617,0.3,-0.1,0.083708189,0.080716063,0.030049209,0.002063984,0.053414936,0.006120842,0.001648982,0.000155848,0.00870552,0.000660939,-0.000322175,-0.000768091,0.000312207,0.002435521,0.001160455,0.001100312,0.001461204,0.00187864,0.00409089,40.1,-0.1,40.5,7.324489979,5.605802066,5.730099783,6.289715571,5.986452005,7.090076836,5.429345629,5.451038454,5.883322388,5.940171253,-0.006007085,-0.010474712,0.004827526,-0.010331126,0.001364722,0.001399955,0.003697498,-0.009779049,-0.020000167,-0.02010101,0.000238454,-0.001629154,0.002516578,0.000738002,0.026843763,0.027793352,-0.084703546,0.016086267,0.22,-0.06,-0.1,-0.09,-0.09,-0.09,-0.03,0.01,0.01,0.37,-0.11,0.06,0.27,0.78,1.05,1.42,2.13,0.001134299,-0.000108584,-0.000998146,-0.001297979,0.002989539,0.008959706,0,-9.87E-05,0,-9.41E-06,0.00165251,-0.006477159,0.016270856,-0.004246291,0.005873719,0.002587324,-0.003992021,0,0.006259786,0.003252035,0.001964642,-0.000627072,0.00572748,-8.25E-05,-1.75E-05,-0.010398707,-1.94E-05,-0.000730265,0.000232595,-0.003182133,15.7942
9/1/62,0.000441291,0.001182146,0.011196046,-0.015901549,0.002983643,0.006323331,0.0062777,0.004192097,0.006309908,0.012946546,0.006250485,-0.00102909,0.008512167,0.008555603,0.006453749,0.007377768,-0.003132719,0.031036697,0.3707,-33,-0.002292285,0.002420252,0.003339299,-0.1,-0.4,0.01034492,-0.037864606,0.01378065,0.156210413,-0.119252235,-0.01585251,0.002504115,0.002801122,-0.004827041,0.001980199,0.003281328,0.004271872,0.0018712,0.002347803,0.001604564,7.33E-05,0.00272305,0.001875118,0.0028647,40.1,0.1,40.5,7.188412736,5.407171771,5.513428746,6.150602768,5.950642553,7.109062136,5.402677382,5.552959585,5.872117789,5.96100534,0.044367006,0.008759725,0.007197872,0.010331126,-0.002730842,0.000249672,0.001372331,0.00390244,0.020000167,0.02010101,0.005465309,0.001678296,-0.002468861,3.94E-05,-0.008925566,-0.010167356,0.043264313,-0.022938381,-0.03,0.04,-0.04,-0.06,-0.14,-0.01,0,-0.03,-0.03,0.44,-0.12,0.03,0.16,0.8,1.08,1.42,2.13,0.000300721,-0.007966443,-0.001034846,-0.000835306,0.005925825,0.005864291,0,0.012806652,0,0.003072199,0.002629387,0.012940404,-4.22E-05,0,0.00291111,-0.002587324,0,0.003284075,0.003100657,-1.05E-05,0.003496439,0.000730789,0.008839935,-0.000163818,-0.004175371,0.003442344,-0.004395611,-0.017970107,-0.009636637,0.002606288,18.3148
10/1/62,0.005333927,0.00331019,-0.004971853,0.019836112,0.015581868,0.001051959,-0.003135745,0.001046231,-0.002097975,0.004278534,-0.004161883,0.004120379,0,0.003186868,-0.006641592,-0.002102385,-3.86E-06,0.001051763,-0.4024,-30,0.01112769,-0.003322309,-0.001161527,-0.2,0,-0.066789958,-0.041101676,-0.069905697,-0.094252538,-0.044451763,0.012156395,0.001124809,-0.000207222,-0.003878479,-0.000659631,6.42E-05,0.001419912,-0.0018712,0.00182529,0.000712314,-0.000696673,0.000280667,0.002619272,0.002746802,39.9,-0.1,40.3,7.334981879,5.433722004,5.720311777,6.444131257,5.913503006,7.074116816,5.484796933,5.455321115,5.84932478,5.883322388,0.019639742,0.014621658,0.00516643,0,0.004778859,0.000525054,0.007769516,0.0038797,-0.005037294,-0.00510101,0.000437388,0.000336657,0.003064818,0.000651759,-0.032060204,-0.033691278,0.146515197,-0.042959893,0,-0.07,-0.04,-0.09,-0.08,-0.06,-0.05,-0.04,-0.04,0.37,-0.16,-0.06,0.08,0.74,1.03,1.38,2.09,-0.000439545,-0.001793605,0.000142801,-0.000650165,-0.014850099,-0.020697145,-0.003273325,-0.035594816,0,0,-0.005928648,-0.00647712,-0.009703535,0.004228336,-0.00876768,-0.002587324,0,-0.003284075,-0.00623055,-0.003241494,-0.00599113,-0.005507598,-0.014042915,0.000406645,0,-0.003442344,0.004376375,0.010905268,0.003065798,0.013788333,25.9671
11/1/62,0.003597242,0.004736921,0.01313681,0.010659047,0.005206408,0.004185172,0.006258068,0.004174014,0.00628347,0.001065692,0.004161883,0,0.008436037,0.007403927,0.01217678,0.008387226,0.01352137,0.008385123,0.4541,-1,-0.025997447,-0.000648856,-0.00398624,0.3,-0.8,0.116423786,-0.061280431,0.0279806,0.168990194,-0.139761942,-0.017041354,0.000267625,-0.002126502,-0.010907719,0.001318826,-0.002508121,-0.002951306,-0.001874708,0.001523064,0.000622859,-0.00124789,0.00212,0.002612429,0.003395589,40.1,0.1,40.5,7.391415235,5.545177444,5.840641657,6.363028104,6.091309882,7.119635638,5.488937726,5.451038454,5.897153868,5.983936281,-0.025647467,-2.29E-05,0.000396314,-0.020662252,0.001351261,0.000792683,0.007203116,-0.011661841,-0.035115828,-0.039825871,-0.002726533,5.75E-05,0.000257577,0.000664123,0.0666282,0.0697881,-0.212852007,0.055861224,0.04,-0.04,0.09,0.05,0.02,-0.04,-0.01,-0.03,-0.03,0.29,-0.11,-0.05,0.06,0.66,0.98,1.31,2.02,-0.001342966,3.60E-05,0.000214163,0.000650165,0.005934736,0.011825652,0.003273325,0.019375919,0,0.006134989,0.00131579,-0.006435476,0.003231021,-0.004228336,0.00583942,0.002587324,0.003976148,0,0,0,0.001836063,0.005021847,0.002286165,0.000486545,0.00415801,0.006849342,-0.004376375,0.004485596,0.0045793,-0.017681319,16.7658
12/1/62,0.004719287,0.005278848,0.005656095,-0.02778699,-0.000197843,0,0.001038611,0.003115355,0.004165358,0.007436846,0.00517868,-0.006181742,-0.005265792,-0.005284977,-0.006746267,0.001042965,-0.001033639,0.014509495,-0.1601,-1,0.013005535,-0.000239901,0.001494836,-0.2,0.3,-0.059401214,0.084607623,0.016045649,-0.090737997,0.147635999,0.031271007,-0.000499625,-0.002131033,-0.005745727,-0.008936018,-0.000644122,0.000109463,-0.001721575,0.000353237,0.000355745,0.00110116,0.000367477,0.001861851,-0.002079799,39.6,0,40.3,7.355001921,5.802118375,5.645446898,6.345636361,5.940171253,7.119635638,5.442417711,5.517452896,5.846438775,6.01615716,0.049626281,0.03203297,0.001089055,0.020662252,-0.000692953,0.000775252,0.008073377,0.025136539,0.055343287,0.055444427,-0.002440887,-0.001506507,-0.001968069,0.000419925,0.042393045,0.041877082,-0.119486945,0.031755788,-0.01,0.06,0.04,0.02,0.01,-0.04,-0.06,-0.01,-0.04,0.36,-0.06,-0.02,0.08,0.63,0.93,1.31,1.99,0.000139011,0.000143401,0.000499536,-0.000836004,-0.002980628,-0.008897701,0,-0.01945971,0,-0.021543614,0,0.002138999,0,0.004210533,-0.00583942,-0.002594035,-0.003976148,0,0,0,-0.001184585,-0.000751285,-0.002074397,-0.000570894,-0.00415801,-4.66E-05,0,-0.009880555,0.003206185,0.012109854,14.6778
1/1/63,0.006157004,-0.002372034,-0.00034945,0.013323774,0.004195776,0.007286978,0.010330793,0.014417537,0.012395631,0.010525374,0.01333949,-0.004135517,0.004215707,0.004231647,-0.004030587,0.006239098,0.02854553,0.022382165,0.2655,32,-0.010831295,0.004112682,0.001865408,0.2,0.2,-0.001155402,0.067682591,0.049325067,0.035214906,0.064538521,-0.018654867,0.001551591,0.001975258,-0.002637654,0.004312496,0.001609529,0.002295961,0.00062637,0.001330311,-0.00267118,0.003661801,0.001730573,0.00297177,0.00851069,40,-0.1,40.5,7.126087273,5.062595033,5.049856007,6.21860012,6.059123196,7.129297549,5.501258211,5.303304908,5.913503006,6.068425588,-0.007275129,0.025334965,0.001779536,0,-1.14E-05,-0.001158622,0.004846266,-0.032780317,-0.03017779,-0.015568052,-0.000299942,0.002027138,0.000606798,-0.000137639,0.037905869,0.03608446,-0.116230053,0.027395447,-0.01,0.05,0.04,0.05,0.03,0.02,-0.03,-0.03,-0.01,0.42,-0.01,0.04,0.12,0.66,0.91,1.29,1.99,0.002036613,0.000107398,0.000534941,0.001114517,-8.91E-06,0.005934736,0,0.003134899,0,0.021600596,0.001973036,0.006453935,-0.009756175,-1.77E-05,0.00583942,-0.00261431,0.003960401,0,0,0.003231021,0.002840235,-0.001084614,0.005892522,0.001700876,0.004140793,-0.010198336,0.004357305,0.00105911,-0.011994274,-0.00503592,14.8357
2/1/63,-0.00528731,0.002597649,-0.003751786,0.012716263,-0.007565118,0.011349643,0.008189184,0.008145166,0.011232092,0.010415743,0.01115111,0.014410414,0.014614461,0.011533134,0.021648633,0.008253352,0.01694186,0.023858558,0.4332,3,-0.016513171,0.001629122,-0.000715905,0.2,0.3,0.071379232,0.02366041,0.013280408,-0.068004729,0.092967867,-0.032744084,0.002047266,-0.001507081,-0.000330196,-0.007976114,-0.000193007,0.000655022,-0.001409885,0.003899274,0.005778564,0.001862368,0.001396258,0.002223046,0.002929213,39.9,0.1,40.5,7.283448229,5.424950017,5.59471138,6.259581464,6.079933195,7.100027167,5.451038454,5.262690189,5.926926026,6.018593214,0.011000734,0.019705703,0.003155821,-0.020662252,0.00066045,0.000496911,0.006066417,0.001778659,-0.015215166,-0.030176133,-0.001225782,-0.000275304,0.002690841,0.002112844,0.013131965,0.0132936,-0.032742288,0.003854279,0.08,-0.09,0.01,0.02,-0.03,0.08,0.09,-0.02,-0.02,0.25,-0.08,-0.02,0.01,0.66,0.92,1.19,1.89,-0.000138728,7.17E-05,-0.000499269,0.000556793,0.002989539,0,0,-9.80E-05,0,-0.009283163,-0.000659838,-0.002157458,0.013018821,-0.004192878,-0.00291971,0.005208345,-0.003960401,0,0.003100778,-0.003231021,-0.001362602,0.003654214,-0.002783676,-0.001866693,-1.71E-05,0.006791178,-1.89E-05,-0.001325837,-0.001099084,-0.013119389,13.5542
3/1/63,0.00446665,0.004464209,0.005098991,-0.008938175,0.00795911,0.006135815,0,0.001014415,0.004051414,0.002072723,0.005027669,-0.006146034,0.014403951,0.012438094,0.015865956,0.006149606,-0.013931187,-2.50E-06,0.2465,29,0.024590292,0.00225672,0.004866986,-0.2,0.4,-0.088284327,-0.013338762,-0.044971607,-0.101253734,0.003344485,-0.025800812,0.00159929,0.000260004,0.001979545,-0.006024115,0.001414518,0.000654593,0.00250509,0.002294539,0.001771323,0.002259394,0.003325704,0.002587324,0.00151548,40,0,40.5,7.335633982,5.497168225,5.602118821,6.413458957,6.013715156,7.137278437,5.438079309,5.525452939,5.888877958,6.03068526,0.017628662,0.027696936,0.002163864,0,-0.002024942,0.000215935,0.006606135,0.015609939,0.015087607,0.025125628,-0.000483184,-0.003055208,-0.000444959,0.000904534,-0.003799685,-0.002906556,0.022534684,-0.015423719,-0.02,0.09,-0.03,-0.03,0.02,0.02,0.01,0,-0.01,0.36,-0.09,-0.03,0.05,0.7,0.95,1.21,1.9,0.00090139,0.000215303,-0.000999286,0.00027828,-0.002998503,-0.00896867,0,-0.003472689,0,0.003091193,-0.00032943,-0.002143624,-1.06E-05,0,0,0.005208345,0,0.003273325,-0.003100778,0,-0.00183074,-0.00080662,-0.004031392,-0.000405045,-1.69E-05,0.003361193,-1.87E-05,0.00343252,0.001596141,0.000909271,12.3661
