yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx
195801,41.7,1.7833,3.2933,0.632860762,0.0244,0.036,0.0483,0.033,0.02989618,0.0028,0.007042254,-0.0084,0.0099,0.000784465,0.000290267,0.045518,0.04433
195802,40.84,1.7767,3.2167,0.647390435,0.0153,0.0359,0.0466,0.0325,0.02775108,0.0012,0,0.01,-0.0008,0.000736248,0.000630306,-0.014109,-0.020288
195803,42.1,1.77,3.14,0.668591638,0.013,0.0363,0.0468,0.0321,0.028935348,0.0009,0.006993007,0.0102,-0.0046,0.000519206,0.000187321,0.033052,0.029736
195804,43.44,1.7567,3.07,0.655245031,0.0113,0.036,0.0467,0.0311,0.027018277,0.0008,0.003472222,0.0186,0.0163,0.000746762,0.000591781,0.033511,0.032038
195805,44.09,1.7433,3,0.645558677,0.0091,0.0357,0.0462,0.0313,0.02286951,0.0011,0,0.0001,0.0031,0.000433117,0.000339673,0.021313,0.015503
195806,45.24,1.73,2.93,0.62466017,0.0083,0.0357,0.0455,0.0324,0.021436618,0.0003,0,-0.016,-0.0038,0.000438202,0.000757718,0.027998,0.024897
195807,47.19,1.73,2.9133,0.593848784,0.0091,0.0367,0.0453,0.0343,0.016933799,0.0007,0.003460208,-0.0278,-0.0153,0.000695625,0.000948139,0.04396,0.042418
195808,47.75,1.73,2.8967,0.587263826,0.0169,0.0385,0.0467,0.0371,0.015090629,0.0004,-0.003448276,-0.0435,-0.032,0.000588962,0.001246582,0.017999,0.01327
195809,50.06,1.73,2.88,0.561371197,0.0244,0.0409,0.0487,0.038,0.013983478,0.0019,0,-0.0117,-0.0096,0.00051018,0.001397779,0.050837,0.047954
195810,51.33,1.7367,2.8833,0.549869298,0.0263,0.0411,0.0492,0.0374,0.012278913,0.0018,0,0.0138,0.0107,0.000793475,0.001163452,0.02737,0.025878
195811,52.48,1.7433,2.8867,0.535823198,0.0267,0.0409,0.0487,0.0368,0.011534944,0.0011,0.003460208,0.012,0.0105,0.00153021,0.00152852,0.028617,0.023385
195812,55.21,1.75,2.89,0.51177932,0.0277,0.0408,0.0485,0.0382,0.023686832,0.0022,-0.003448276,-0.0181,-0.0058,0.000712772,0.001585812,0.054112,0.051432
195901,55.42,1.7567,2.9633,0.502895818,0.0282,0.0412,0.0487,0.0408,0.027736266,0.0021,0.003460208,-0.008,-0.0028,0.000584868,0.001722387,0.006331,0.005395
195902,55.41,1.7633,3.0367,0.494946148,0.027,0.0414,0.0489,0.0402,0.027898847,0.0019,-0.003448276,0.0117,0.0126,0.000844734,0.001945027,0.006711,0.00221
195903,55.44,1.77,3.11,0.516860282,0.028,0.0413,0.0485,0.0403,0.02498439,0.0022,0,0.0017,-0.0083,0.000491508,0.001768307,0.003352,0.000826
195904,57.59,1.7767,3.2067,0.498597194,0.0295,0.0423,0.0486,0.0414,0.02436057,0.002,0.003460208,-0.0117,-0.0172,0.00049255,0.001357063,0.040054,0.039093
195905,58.68,1.7833,3.3033,0.48307678,0.0284,0.0437,0.0496,0.0417,0.025887234,0.0022,0,-0.0005,-0.0114,0.000427801,0.001912644,0.023631,0.019043
195906,58.47,1.79,3.4,0.483219391,0.0321,0.0446,0.0504,0.0419,0.026882074,0.0025,0.003448276,0.001,0.0044,0.00091507,0.001917092,-0.000725,-0.003196
195907,60.51,1.7967,3.41,0.460822665,0.032,0.0447,0.0508,0.0417,0.027141372,0.0025,0.003436426,0.006,0.0089,0.000487796,0.001585929,0.034504,0.033514
195908,59.6,1.8033,3.42,0.468084466,0.0338,0.0443,0.0509,0.0423,0.028146131,0.0019,0,-0.0041,-0.0068,0.001069699,0.001439553,-0.011076,-0.015179
195909,56.88,1.81,3.43,0.492337893,0.0404,0.0452,0.0518,0.0429,0.030528391,0.0031,0.003424658,-0.0057,-0.0088,0.001709845,0.001397017,-0.043182,-0.045586
195910,57.52,1.8167,3.4167,0.48097742,0.0405,0.0457,0.0528,0.0421,0.031020181,0.003,0.003412969,0.015,0.0165,0.000618183,0.001331631,0.012574,0.011436
195911,58.28,1.8233,3.4033,0.471798295,0.0415,0.0456,0.0526,0.0432,0.02972238,0.0026,0,-0.0119,0.0135,0.000499693,0.0015159,0.018486,0.013114
195912,59.89,1.83,3.39,0.457783797,0.0449,0.0458,0.0528,0.0447,0.022856304,0.0034,0,-0.0159,-0.0096,0.000307544,0.000975372,0.029627,0.026911
196001,55.61,1.8667,3.39,0.499502104,0.0435,0.0461,0.0534,0.0441,0.022116168,0.0033,-0.003401361,0.0112,0.0107,0.000919418,0.000888552,-0.069933,-0.070835
196002,56.12,1.9033,3.39,0.493556783,0.0396,0.0456,0.0534,0.0429,0.024037494,0.0029,0.003412969,0.0204,0.0128,0.001150246,0.000660848,0.013922,0.009129
196003,55.34,1.94,3.39,0.549798083,0.0331,0.0449,0.0525,0.0411,0.02559341,0.0035,0,0.0282,0.0191,0.000969147,0.000360982,-0.012566,-0.015238
196004,54.37,1.9433,3.3467,0.56340369,0.0323,0.0445,0.052,0.0426,0.025577133,0.0019,0.003401361,-0.017,-0.0022,0.000645166,0.000121487,-0.016113,-0.017097
196005,55.83,1.9467,3.3033,0.541966427,0.0329,0.0446,0.0528,0.0417,0.024414376,0.0027,0,0.0152,-0.0021,0.000423559,-3.57588E-05,0.033513,0.028312
196006,56.92,1.95,3.26,0.529174862,0.0246,0.0445,0.0526,0.0407,0.024269926,0.0024,0.003389831,0.0173,0.0141,0.000498948,-4.2243E-06,0.021802,0.019133
196007,55.51,1.95,3.2633,0.549673277,0.023,0.0441,0.0522,0.0382,0.025778487,0.0013,0,0.0368,0.0257,0.00097782,-0.000448598,-0.022948,-0.023813
196008,56.96,1.95,3.2667,0.541542197,0.023,0.0428,0.0508,0.039,0.025195535,0.0017,0,-0.0067,0.0117,0.000636967,-0.00077143,0.031467,0.026197
196009,53.52,1.95,3.27,0.584341711,0.0248,0.0425,0.0501,0.0387,0.028312467,0.0016,0,0.0075,-0.0063,0.001771622,-0.001194357,-0.058713,-0.06092
196010,53.39,1.95,3.27,0.584120201,0.023,0.043,0.0511,0.0391,0.027823798,0.0022,0.006756757,-0.0028,0.0008,0.001048715,-0.000896879,-0.001079,-0.002407
196011,55.54,1.95,3.27,0.567630019,0.0237,0.0431,0.0508,0.0399,0.026034213,0.0013,0,-0.0066,-0.007,0.000668674,-0.000955278,0.046081,0.039977
196012,58.11,1.95,3.27,0.550422965,0.0225,0.0435,0.051,0.038,0.022761361,0.0016,0,0.0279,0.0104,0.000450306,-0.001362514,0.048839,0.046597
196101,61.78,1.9467,3.21,0.522986733,0.0224,0.0432,0.051,0.0404,0.021815336,0.0019,0,-0.0107,0.0148,0.000741124,-0.001330627,0.06432,0.063181
196102,63.44,1.9433,3.15,0.512022716,0.0242,0.0427,0.0507,0.0392,0.019419904,0.0014,0,0.02,0.021,0.000547459,-0.001254178,0.032838,0.028612
196103,65.06,1.94,3.09,0.546679869,0.0239,0.0422,0.0502,0.0397,0.022737591,0.002,0,-0.0037,-0.0029,0.000414941,-0.001214966,0.029345,0.027051
196104,65.31,1.94,3.07,0.545004494,0.0229,0.0425,0.0501,0.0391,0.02325925,0.0017,0,0.0115,-0.0116,0.001009209,-0.001504075,0.004537,0.003843
196105,66.56,1.94,3.05,0.530916294,0.0229,0.0427,0.0501,0.0397,0.022465655,0.0018,0,-0.0046,0.0049,0.000404343,-0.001462735,0.023553,0.018924
196106,64.64,1.94,3.03,0.540821101,0.0233,0.0433,0.0503,0.0404,0.022482126,0.002,0,-0.0075,-0.008,0.000548907,-0.001148127,-0.026673,-0.028725
196107,66.76,1.9467,3.0367,0.524405631,0.0224,0.0441,0.0509,0.0404,0.025179628,0.0018,0.006711409,0.0035,0.004,0.000628374,-0.001542254,0.033795,0.033119
